time,open,high,low,close,tick_volume
2026-08-14 23:46:00,4375.35,4375.84,4375.13,4375.14,77
2026-08-14 23:47:00,4375.13,4375.57,4375.05,4375.5,48
2026-08-14 23:48:00,4375.27,4375.88,4375.2,4375.58,53
2026-08-14 23:49:00,4375.53,4375.75,4375.16,4375.21,73
2026-08-14 23:50:00,4375.56,4375.81,4374.66,4375.08,109
2026-08-14 23:51:00,4375.39,4375.79,4375.07,4375.67,104
2026-08-14 23:52:00,4375.67,4375.74,4375.18,4375.3,95
2026-08-14 23:53:00,4375.31,4375.87,4374.92,4375.28,102
2026-08-14 23:54:00,4375.28,4376.15,4375.02,4376.04,82
2026-08-14 23:55:00,4375.99,4376.12,4375.03,4375.74,125
2026-08-14 23:56:00,4375.5,4375.66,4375.04,4375.34,101
2026-08-18 01:00:00,4418.11,4419.05,4415.93,4417.98,235
2026-08-18 01:01:00,4417.93,4418.28,4415.55,4416.45,128
2026-08-18 01:02:00,4416.45,4416.53,4415.64,4415.88,80
2026-08-18 01:03:00,4415.88,4417.07,4415.88,4416.64,89
2026-08-18 01:04:00,4416.64,4416.93,4416.21,4416.25,62
2026-08-18 01:05:00,4416.25,4416.49,4415.88,4416.26,48
2026-08-18 01:06:00,4416.26,4416.5,4415.44,4415.9,64
2026-08-18 01:07:00,4415.81,4416.18,4414.85,4415.39,104
2026-08-18 01:08:00,4415.39,4415.96,4414.72,4415.56,86
2026-08-18 01:09:00,4415.56,4416.12,4415.35,4415.66,73
2026-08-18 01:10:00,4415.71,4416.12,4415.3,4415.92,76
2026-08-18 01:11:00,4415.94,4416.74,4415.37,4416.44,95
2026-08-18 01:12:00,4416.44,4416.64,4416.33,4416.44,71
2026-08-18 01:13:00,4416.44,4416.94,4416.14,4416.52,88
2026-08-18 01:14:00,4416.52,4416.92,4416.37,4416.74,88
2026-08-18 01:15:00,4416.74,4416.77,4416.24,4416.39,122
2026-08-18 01:16:00,4416.38,4417.29,4416.38,4417.24,74
2026-08-18 01:17:00,4417.24,4417.24,4416.05,4416.19,99
2026-08-18 01:18:00,4416.2,4416.75,4415.94,4416.0,98
2026-08-18 01:19:00,4416.0,4416.1,4415.75,4415.87,66
2026-08-18 01:20:00,4415.86,4416.44,4415.68,4416.32,94
2026-08-18 01:21:00,4416.3,4416.31,4415.49,4415.68,69
2026-08-18 01:22:00,4415.7,4415.87,4415.53,4415.78,84
2026-08-18 01:23:00,4415.87,4415.99,4415.31,4415.38,74
2026-08-18 01:24:00,4415.39,4415.62,4415.35,4415.54,68
2026-08-18 01:25:00,4415.55,4415.6,4415.17,4415.39,90
2026-08-18 01:26:00,4415.39,4415.51,4413.55,4413.56,114
2026-08-18 01:27:00,4413.56,4413.7,4412.6,4413.11,141
2026-08-18 01:28:00,4413.03,4413.06,4412.05,4412.26,122
2026-08-18 01:29:00,4412.26,4413.19,4412.12,4412.53,106
2026-08-18 01:30:00,4412.53,4413.48,4412.0,4412.84,188
2026-08-18 01:31:00,4412.84,4412.89,4411.98,4412.52,129
2026-08-18 01:32:00,4412.52,4412.79,4411.73,4412.43,116
2026-08-18 01:33:00,4412.45,4412.77,4411.95,4412.16,115
2026-08-18 01:34:00,4412.14,4413.12,4412.06,4412.63,161
2026-08-18 01:35:00,4412.63,4413.09,4412.52,4412.93,104
2026-08-18 01:36:00,4412.93,4414.37,4412.81,4414.31,142
2026-08-18 01:37:00,4414.3,4414.74,4414.1,4414.57,74
2026-08-18 01:38:00,4414.57,4414.6,4413.46,4413.5,112
2026-08-18 01:39:00,4413.5,4413.75,4413.02,4413.23,89
2026-08-18 01:40:00,4413.23,4413.64,4413.06,4413.06,91
2026-08-18 01:41:00,4413.07,4414.19,4413.07,4413.99,101
2026-08-18 01:42:00,4413.99,4414.53,4413.88,4414.5,77
2026-08-18 01:43:00,4414.53,4415.75,4414.53,4415.44,91
